"Radius","","PutMask(double, double, int)","qlrps(double, double, double, int, double, double, prop_type&)","GetMask(double, double)","ReadBearing(char*)","hzns2(double*, prop_type&, propa_type&)","WritePPMSS(char*, unsigned char, unsigned char, unsigned char, site*, unsigned char)","z1sq2(double*, double const&, double const&, double&, double&)","fht(double const&, double const&)","haat(site)","ElevationAngle(site, site)","ascat(double, prop_type&, propa_type&)","LoadSignalColors(site)","saalos(double, prop_type&, propa_type&)","dec2dms(double)","lrprop(double, prop_type&, propa_type&)","lrprop2(double, prop_type&, propa_type&)","aknfe(double const&)","OrMask(double, double, int)","point_to_point_ITM(double*, double, double, double, double, double, double, int, int, double, double, double&, char*, int&)","GetSignal(double, double)","AverageTerrain(site, double, double, double)","LoadPAT(char*)","ahd(double)","PlaceMarker(site)","adiff(double, prop_type&, propa_type&)","h0f(double, double)","LoadQTH(char*)","Azimuth(site, site)","PutSignal(double, double, unsigned char)","AddElevation(double, double, double)","d1thx2(double*, double const&, double const&, propa_type&)","avar(double, double, double, prop_type&, propv_type&)","ReadLRParm(site, char)","Distance(site, site)","z1sq1(double*, double const&, double const&, double&, double&)","LoadSDF_SDF(char*)","FORTRAN_DIM(double const&, double const&)","qlrpfl(double*, int, int, prop_type&, propa_type&, propv_type&)","qlrpfl2(double*, int, int, prop_type&, propa_type&, propv_type&)","abq_alos(std::complex<double>)","LoadSDF(char*)","qtile(int const&, double*, int const&)","GetElevation(site)","curve(double const&, double const&, double const&, double const&, double const&, double const&)","PlotLRPath(site, site, unsigned char, _IO_FILE*)","ReadPath(site, site)","PlotPath(site, site, char)","adiff2(double, prop_type&, propa_type&)","point_to_point(double*, double, double, double, double, double, double, int, int, double, double, double&, char*, int&)","SiteReport(site)","PlotLRMap(site, double, char*)","arccos(double, double)","qerfi(double)","LoadSDF_BZ(char*)","alos(double, prop_type&, propa_type&)","hzns(double*, prop_type&)","interpolate(int, int, int, int, int)","alos2(double, prop_type&, propa_type&)","d1thx(double*, double const&, double const&)","LoadTopoData(int, int, int, int)",
11,,0.03,0.04,0.03,0.00,4.90,0.74,1.27,0.05,0.00,,,0.00,1.72,0.00,,0.12,0.02,0.39,0.01,0.11,0.00,0.00,,0.00,,,0.00,0.02,0.02,,5.00,0.40,0.00,0.00,,0.15,,,0.01,0.01,0.00,9.30,1.27,0.13,0.39,1.85,,1.30,0.63,0.00,0.00,0.11,0.12,0.00,,,0.04,0.03,,0.00,
12,,0.04,0.15,0.00,0.00,6.03,0.71,1.77,0.06,0.00,,0.01,0.00,1.74,0.00,0.01,0.17,0.06,0.38,,0.10,0.00,0.00,,0.00,,,0.00,0.10,0.01,,6.86,0.58,0.00,0.00,,0.09,,,0.06,0.01,0.00,11.81,1.24,0.18,0.24,2.21,,1.56,0.83,0.00,0.00,0.09,0.14,0.00,,,0.02,0.00,,0.00,
13,,0.06,0.07,0.02,0.00,7.31,0.84,2.12,0.07,0.00,,0.01,0.00,1.89,0.00,0.01,0.23,0.02,0.44,,0.13,0.00,0.00,,0.00,,,0.00,0.13,0.04,,8.65,0.58,0.00,0.00,,0.14,,,0.07,0.01,0.00,14.55,1.68,0.16,0.36,1.86,,1.70,1.11,0.00,0.02,0.09,0.18,0.00,,,0.01,0.03,,0.00,
14,,0.05,0.06,0.02,0.00,9.72,0.78,2.82,0.06,0.00,,,0.00,2.54,0.00,0.01,0.29,0.10,0.37,,0.09,0.00,0.00,,0.00,,,0.00,0.11,0.01,,9.89,0.61,0.00,0.00,,0.08,0.01,,0.08,,0.00,17.55,1.48,0.29,0.33,1.89,,2.37,1.25,0.00,0.00,0.11,0.11,0.00,,0.01,0.02,0.01,,0.00,
15,,0.03,0.12,0.01,0.00,11.53,0.79,2.78,0.08,0.00,,0.01,0.00,2.86,0.00,,0.26,0.09,0.60,,0.12,0.00,0.00,,0.00,,,0.00,0.09,0.03,,12.58,0.81,0.00,0.01,0.01,0.14,0.01,0.01,0.06,,0.00,21.88,1.58,0.27,0.39,1.79,,2.73,1.58,0.00,0.01,0.09,0.27,0.00,,,0.03,0.03,,0.00,
16,,0.04,0.05,0.01,0.00,13.79,1.56,3.88,0.07,0.00,,0.01,0.00,3.53,0.00,,0.53,0.11,0.90,0.01,0.23,0.00,0.01,,0.00,,,0.00,0.06,0.05,,15.23,1.04,0.00,0.00,0.01,0.14,0.01,,0.08,,0.00,26.44,3.49,0.34,0.45,4.07,,2.85,1.82,0.00,0.00,0.19,0.28,0.00,,,0.06,0.03,,0.00,
17,,0.03,0.14,0.02,0.00,16.83,1.75,4.38,0.10,0.00,,,0.00,4.06,0.00,,0.32,0.13,1.00,,0.19,0.00,0.00,,0.00,0.01,,0.00,0.13,0.02,,18.49,0.88,0.00,0.00,,0.27,,,0.15,0.01,0.00,31.30,3.24,0.39,0.62,4.00,,3.32,2.64,0.00,0.00,0.27,0.34,0.00,0.01,,0.07,0.05,,0.00,
18,,0.11,0.13,0.01,0.00,19.93,4.01,6.24,0.12,0.00,,0.01,0.00,4.14,0.00,,0.38,0.16,1.13,,0.32,0.00,0.00,,0.00,0.02,,0.00,0.13,0.04,0.01,22.02,1.08,0.00,0.00,0.01,0.30,0.01,0.01,0.21,,0.04,37.44,7.41,0.25,0.74,7.16,,3.74,2.55,0.00,0.00,0.46,0.25,0.00,,,0.17,0.03,,0.00,
19,,0.12,0.19,0.03,0.00,23.96,4.17,6.20,0.18,0.00,,,0.00,4.37,0.00,0.01,0.54,0.13,1.18,0.01,0.31,0.00,0.00,,0.00,0.02,,0.00,0.11,0.06,,24.78,1.10,0.00,0.00,0.01,0.31,,0.01,0.18,,0.05,43.71,8.28,0.50,0.76,7.69,,3.89,3.57,0.00,0.01,0.49,0.40,0.00,,,0.15,0.03,,0.00,
20,,0.07,0.16,0.07,0.00,26.76,4.08,7.68,0.14,0.00,,,0.00,4.79,0.00,0.01,0.43,0.15,1.33,,0.33,0.00,0.00,,0.00,0.01,,0.00,0.11,0.07,,30.20,1.28,0.00,0.00,0.01,0.39,0.01,,0.25,,0.05,51.62,7.17,0.51,0.87,7.45,,4.66,4.03,0.00,0.01,0.51,0.46,0.00,,,0.11,0.06,,0.00,
21,,0.07,0.16,0.03,0.00,30.03,3.45,8.97,0.15,0.00,,0.02,0.00,5.38,0.00,,0.56,0.22,1.40,,0.40,0.00,0.00,,0.00,0.01,,0.00,0.14,0.09,,34.53,1.40,0.00,0.00,0.01,0.16,0.01,,0.24,,0.05,60.64,8.10,0.43,0.95,7.62,,5.67,4.36,0.00,0.01,0.35,0.37,0.00,,,0.09,0.04,0.01,0.00,
22,,0.13,0.12,0.10,0.00,34.71,4.13,9.98,0.22,0.00,,0.02,0.00,6.27,0.00,,0.48,0.14,1.62,0.01,0.38,0.00,0.00,,0.00,,,0.00,0.15,0.07,,38.43,1.65,0.00,0.00,0.02,0.29,,,0.26,,0.05,68.03,8.42,0.64,1.05,7.69,,5.90,5.20,0.00,0.02,0.40,0.40,0.00,,,0.10,0.03,0.01,0.00,
23,,0.11,0.23,0.05,0.00,39.32,4.31,11.72,0.25,0.00,,,0.00,6.60,0.01,,0.53,0.24,1.57,0.01,0.36,0.00,0.00,,0.00,0.02,,0.00,0.21,0.03,,45.27,1.71,0.00,0.01,,0.41,,,0.24,0.02,0.04,78.06,8.05,0.65,0.97,7.60,,5.67,5.31,0.00,0.00,0.48,0.48,0.00,,0.01,0.11,0.01,,0.00,
24,,0.14,0.27,0.06,0.00,43.83,4.01,13.48,0.29,0.00,,0.01,0.00,8.06,0.01,0.02,0.77,0.24,1.66,,0.53,0.00,0.00,,0.00,0.01,,0.00,0.14,0.06,0.01,51.34,1.98,0.00,0.00,,0.34,0.01,,0.37,0.01,0.05,89.68,7.84,0.76,1.24,7.56,,6.63,6.78,0.00,0.00,0.39,0.85,0.00,0.01,,0.13,0.03,,0.00,
25,,0.09,0.22,0.09,0.00,50.95,3.80,14.42,0.24,0.00,,0.01,0.00,8.46,0.01,0.02,0.81,0.29,1.80,,0.55,0.00,0.01,,0.00,0.01,,0.00,0.22,0.07,,57.40,1.92,0.00,0.01,0.01,0.36,0.02,,0.33,0.01,0.05,100.12,7.86,0.75,1.01,7.71,,7.49,7.66,0.00,0.01,0.32,0.64,0.00,,,0.15,0.02,,0.00,
26,,0.15,0.31,0.03,0.00,57.74,3.58,16.25,0.25,0.00,,0.01,0.00,8.78,0.01,,0.80,0.21,1.75,0.01,0.53,0.00,0.00,,0.00,0.01,,0.00,0.36,0.11,,64.75,2.55,0.00,0.00,0.02,0.33,0.01,0.01,0.39,,0.05,113.94,8.15,0.74,1.40,7.25,,7.65,9.04,0.00,0.00,0.36,0.63,0.00,,,0.14,0.04,,0.00,
27,,0.14,0.42,0.08,0.00,63.92,3.99,18.29,0.32,0.00,,,0.00,9.29,0.00,0.02,0.92,0.31,2.03,0.02,0.65,0.00,0.00,,0.00,0.01,,0.00,0.24,0.09,,73.38,2.37,0.00,0.00,0.01,0.27,0.01,,0.39,,0.05,127.29,7.97,0.85,1.34,7.84,,8.85,9.76,0.00,0.00,0.39,0.70,0.00,,,0.13,0.05,,0.00,
28,,0.16,0.25,0.09,0.00,69.43,3.71,20.57,0.35,0.00,,,0.00,10.73,0.00,0.03,1.00,0.39,2.04,0.01,0.50,0.00,0.01,,0.00,0.01,,0.00,0.30,0.15,,81.16,2.58,0.00,0.00,,0.31,0.01,,0.41,0.01,0.04,142.30,7.77,0.95,1.41,7.46,,8.93,11.18,0.00,0.00,0.44,0.67,0.00,0.01,0.01,0.13,0.03,0.01,0.00,
29,,0.20,0.36,0.05,0.00,77.76,3.90,22.23,0.28,0.00,,0.01,0.00,10.94,0.00,0.01,1.10,0.34,2.30,0.01,0.55,0.00,0.00,,0.00,0.02,,0.00,0.40,0.15,,89.62,2.98,0.00,0.02,0.01,0.31,0.03,,0.33,0.01,0.04,157.14,7.76,1.05,1.85,8.08,,9.90,11.78,0.00,0.01,0.28,0.80,0.00,,,0.09,0.05,,0.00,
30,,0.23,0.42,0.07,0.00,86.50,3.90,24.53,0.45,0.00,,0.03,0.00,11.16,0.00,0.03,1.04,0.29,2.08,0.01,0.73,0.00,0.00,,0.00,0.01,,0.00,0.36,0.12,,99.30,3.17,0.00,0.01,0.03,0.28,,,0.48,,0.05,171.98,8.07,0.91,1.58,7.59,,11.12,13.76,0.00,0.00,0.45,0.84,0.00,,0.01,0.12,0.06,,0.00,
31,,0.40,0.39,0.07,0.00,95.79,7.20,26.10,0.48,0.00,,0.01,0.00,12.25,0.00,0.01,1.04,0.60,3.22,0.01,0.86,0.00,0.00,,0.00,0.02,,0.00,0.40,0.18,,110.88,3.22,0.00,0.00,0.01,0.49,0.03,0.01,0.55,0.02,0.05,189.54,13.55,1.12,1.93,11.32,,11.86,14.06,0.00,0.00,0.70,0.85,0.00,,0.01,0.23,0.04,0.01,0.00,
32,,0.40,0.42,0.13,0.00,105.00,6.58,30.22,0.42,0.00,,0.01,0.00,13.57,0.00,0.01,1.33,0.47,3.50,,0.86,0.00,0.00,,0.00,0.01,,0.00,0.44,0.28,,121.72,3.01,0.00,0.01,0.02,0.64,0.01,,0.46,0.01,0.05,208.34,13.79,1.20,2.12,10.98,,11.60,16.34,0.00,0.01,0.68,1.06,0.00,0.01,0.01,0.08,0.07,,0.00,
33,,0.50,0.49,0.06,0.00,116.86,6.90,33.12,0.52,0.00,,,0.00,13.78,0.00,,1.43,0.30,3.72,0.01,0.95,0.00,0.00,,0.00,0.03,,0.00,0.54,0.29,,133.34,4.20,0.00,0.00,0.01,0.47,0.02,,0.56,,0.04,228.52,13.17,1.64,2.29,11.36,,12.83,17.03,0.00,0.01,0.63,0.86,0.00,,0.01,0.13,0.06,0.01,0.00,
34,,0.36,0.43,0.06,0.00,123.75,7.03,35.99,0.39,0.00,,0.02,0.00,15.02,0.02,0.01,1.28,0.48,3.96,0.01,1.13,0.00,0.00,,0.00,0.02,,0.00,0.52,0.22,,146.10,3.75,0.00,0.01,0.02,0.42,0.02,0.01,0.45,,0.04,248.29,13.90,1.53,2.57,11.53,,13.35,18.89,0.00,0.00,0.59,1.34,0.00,,0.01,0.17,0.04,,0.00,
35,,0.54,0.43,0.08,0.00,134.48,7.00,39.21,0.46,0.00,,0.04,0.00,15.98,0.00,0.02,1.63,0.47,3.85,0.01,1.16,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.54,0.46,,159.32,4.00,0.00,0.00,0.01,0.51,0.01,,0.64,0.02,0.05,274.62,13.40,1.57,2.53,11.04,,13.72,20.95,0.00,0.01,0.71,1.22,0.00,,,0.14,0.09,,0.00,
36,,0.42,0.37,0.08,0.00,146.75,6.68,42.41,0.49,0.00,,0.08,0.00,17.04,0.02,0.05,1.82,0.43,4.26,0.03,1.22,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.53,0.25,,173.18,4.37,0.00,0.01,0.03,0.56,0.05,,0.53,0.02,0.04,298.11,12.91,1.55,2.44,11.35,,15.27,23.12,0.00,0.01,0.67,1.19,0.00,,0.01,0.13,0.11,0.01,0.00,
37,,0.56,0.54,0.07,0.00,161.66,6.33,46.17,0.51,0.00,,0.09,0.00,18.40,0.01,0.02,1.67,0.58,4.20,,1.33,0.00,0.00,0.02,0.00,0.02,0.02,0.00,0.66,0.39,,186.39,4.70,0.00,0.01,0.01,0.41,0.04,,0.69,0.02,0.04,325.53,12.59,1.62,2.44,11.29,,15.30,24.93,0.00,0.01,0.61,1.23,0.00,,0.01,0.13,0.07,0.01,0.00,
38,,0.49,0.51,0.03,0.00,175.62,6.91,49.96,0.57,0.00,,0.10,0.00,18.86,0.00,0.01,1.72,0.57,4.63,0.02,1.25,0.00,0.00,0.02,0.00,0.01,0.06,0.00,0.49,0.50,,201.09,4.34,0.00,0.02,0.03,0.56,0.02,,0.78,0.01,0.04,353.14,13.20,1.75,2.83,11.34,,16.37,25.66,0.00,0.00,0.69,1.26,0.00,0.01,0.01,0.14,0.09,0.01,0.00,
39,,0.73,0.52,0.46,0.00,188.29,6.97,53.83,0.53,0.00,,0.10,0.00,19.79,0.01,0.03,1.76,0.69,4.79,0.02,1.46,0.00,0.00,0.05,0.00,0.02,0.06,0.00,0.67,0.57,,218.87,4.93,0.00,0.02,0.01,0.45,0.05,,0.75,0.03,0.04,381.57,13.83,1.87,2.84,11.66,,16.97,28.94,0.00,0.02,0.74,1.47,0.00,,0.01,0.15,0.15,0.01,0.00,
40,,0.91,0.56,0.11,0.00,205.28,13.66,58.32,0.54,0.00,,0.18,0.00,21.08,0.00,0.01,2.04,0.53,6.05,0.01,1.72,0.00,0.00,0.01,0.00,0.03,0.14,0.00,0.75,1.11,,236.43,5.49,0.00,0.04,0.01,0.78,0.04,,0.95,0.02,0.05,414.00,23.38,1.84,3.18,16.51,,18.57,30.77,0.00,0.00,0.91,1.41,0.00,,0.01,0.24,0.10,0.01,0.00,
41,,1.07,0.65,0.09,0.00,224.11,12.71,63.98,0.73,0.00,,0.21,0.00,21.55,0.00,0.03,2.15,0.64,6.39,0.01,1.68,0.00,0.00,0.02,0.00,0.04,0.14,0.00,0.81,0.64,,253.13,5.54,0.00,0.02,0.03,0.87,0.02,,0.75,0.02,0.05,447.38,25.32,1.97,3.24,16.22,,19.05,34.73,0.00,0.01,0.82,1.69,0.00,,,0.29,0.14,0.01,0.00,
42,,1.19,0.74,0.17,0.00,239.77,13.04,67.18,0.84,0.00,,0.30,0.00,23.68,0.01,0.01,2.04,0.72,6.84,0.01,2.02,0.00,0.00,0.06,0.00,0.05,0.12,0.00,0.68,0.73,,273.12,6.56,0.00,0.00,0.02,0.72,0.07,0.01,0.75,0.01,0.04,483.77,24.23,3.09,3.32,16.53,,19.60,35.59,0.00,0.01,0.92,1.62,0.00,0.01,0.01,0.21,0.06,,0.00,
43,,1.00,0.49,0.14,0.00,257.15,12.76,72.11,0.68,0.00,,0.36,0.00,24.85,0.03,0.05,2.33,0.68,6.54,,1.90,0.00,0.00,0.06,0.00,0.03,0.15,0.00,0.78,0.81,,289.50,6.07,0.00,0.03,0.02,0.90,0.01,,0.99,0.01,0.04,520.96,23.78,2.44,3.67,16.33,,22.13,40.10,0.00,0.01,0.81,1.99,0.00,0.02,0.01,0.23,0.15,0.01,0.00,
44,,1.15,0.77,0.17,0.00,274.31,12.42,76.49,0.72,0.00,,0.42,0.00,25.12,0.01,0.02,2.32,0.90,6.89,0.01,2.00,0.00,0.00,0.06,0.00,0.02,0.12,0.00,0.81,0.84,0.01,312.92,6.87,0.00,0.01,0.02,0.75,0.03,0.01,0.85,0.02,0.05,561.98,25.11,2.40,3.80,16.39,,22.45,41.43,0.00,0.01,0.72,2.00,0.00,,0.01,0.22,0.11,0.02,0.00,
45,,1.20,0.80,0.19,0.00,292.22,12.81,83.72,1.03,0.00,,0.42,0.00,27.04,0.02,0.02,2.58,0.86,7.72,0.01,2.03,0.00,0.00,0.03,0.00,0.03,0.12,0.00,0.83,0.96,,334.52,7.24,0.00,0.00,0.02,0.72,0.04,,1.32,0.01,0.04,604.91,24.63,2.50,3.88,16.67,,23.38,44.98,0.00,0.01,1.00,1.87,0.00,0.01,0.01,0.15,0.07,0.02,0.00,
46,,1.25,0.79,0.20,0.00,316.48,12.28,86.71,0.72,0.00,,0.42,0.00,27.31,0.05,0.02,2.44,0.68,7.57,0.05,2.42,0.00,0.00,0.07,0.00,0.03,0.15,0.00,0.72,1.08,,357.09,7.23,0.00,0.01,0.04,0.89,0.04,0.01,1.16,0.01,0.05,650.22,24.49,2.58,4.44,15.88,,24.43,47.79,0.00,0.01,0.82,1.89,0.00,0.01,,0.22,0.12,0.01,0.00,
47,,1.42,0.76,0.14,0.00,332.62,12.73,94.69,0.81,0.00,,0.56,0.00,28.80,0.02,0.03,2.47,0.95,8.57,0.01,2.43,0.00,0.00,0.05,0.00,0.05,0.10,0.00,1.10,1.30,,381.42,7.25,0.00,0.02,0.04,0.79,0.03,0.01,0.97,0.01,0.04,698.55,23.70,2.49,4.11,16.54,,25.97,51.41,0.00,0.01,0.82,2.22,0.00,0.01,0.01,0.11,0.15,0.01,0.00,
48,,1.45,1.02,0.23,0.00,355.91,12.70,99.54,0.87,0.00,,0.61,0.00,30.29,0.03,0.02,2.76,0.84,8.36,,2.34,0.00,0.00,0.06,0.00,0.05,0.23,0.00,1.07,1.15,,407.88,8.00,0.00,0.03,0.02,0.77,0.04,0.02,1.37,0.01,0.05,749.31,24.77,2.80,4.33,16.33,,26.97,54.17,0.00,0.01,0.87,2.39,0.00,,0.01,0.22,0.12,0.01,0.00,
49,,1.75,0.93,0.25,0.00,379.46,12.15,107.09,1.05,0.00,,0.52,0.00,31.44,0.03,0.05,3.05,0.98,9.50,0.02,2.69,0.00,0.01,0.06,0.00,0.05,0.18,0.00,0.85,0.86,,433.84,8.19,0.00,0.00,0.02,0.82,0.03,,1.05,0.03,0.05,803.36,24.27,3.22,4.22,16.67,,27.58,58.65,0.00,0.01,2.07,2.40,0.00,0.01,0.01,0.20,0.12,,0.00,
50,,1.52,0.92,0.18,0.00,405.47,12.49,111.95,1.06,0.00,,0.66,0.00,33.01,0.02,0.03,2.85,1.12,9.11,0.01,2.65,0.00,0.01,0.08,0.00,0.04,0.26,0.00,0.93,1.16,,462.90,8.67,0.00,0.01,0.01,0.73,0.02,0.01,0.98,0.02,0.05,856.32,24.78,3.28,4.37,15.72,,29.37,59.70,0.00,0.01,0.92,2.54,0.00,,,0.21,0.13,,0.00,
51,,1.59,1.04,0.23,0.00,424.88,12.26,119.91,1.21,0.00,,0.83,0.00,33.57,0.01,0.01,2.94,0.90,9.93,0.04,3.09,0.00,0.00,0.08,0.00,0.05,0.29,0.00,0.89,1.28,,491.52,8.52,0.00,0.02,0.02,0.86,0.05,0.01,1.28,0.03,0.05,914.42,24.33,3.21,4.70,16.22,,31.01,62.93,0.00,0.02,0.94,2.70,0.00,0.02,0.01,0.21,0.16,0.01,0.00,
52,,2.01,1.03,0.27,0.00,453.79,12.23,128.87,1.14,0.00,,0.74,0.00,36.24,0.04,0.03,3.47,0.96,9.56,0.03,2.96,0.00,0.00,0.08,0.00,0.02,0.19,0.00,1.26,1.56,,517.89,9.64,0.00,0.02,0.02,0.72,0.06,0.01,1.42,0.02,0.05,960.05,24.26,3.82,4.87,16.60,,31.03,69.62,0.00,0.00,0.83,2.57,0.00,0.02,0.01,0.26,0.14,0.01,0.00,
53,,1.70,1.05,0.21,0.00,478.68,12.91,133.43,1.20,0.00,,0.74,0.00,36.52,0.03,0.04,3.75,1.23,10.68,0.03,3.05,0.00,0.00,0.08,0.00,0.04,0.35,0.00,1.28,1.51,,550.51,9.54,0.00,0.01,0.03,0.86,0.03,0.01,1.40,0.03,0.05,1022.46,25.04,4.16,5.42,16.30,,32.03,73.84,0.00,0.00,0.94,2.71,0.00,0.01,0.01,0.19,0.10,0.01,0.00,
54,,1.89,1.26,0.23,0.00,511.87,13.32,141.01,1.23,0.00,,0.84,0.00,36.83,0.02,0.02,3.45,1.25,10.55,0.02,2.88,0.00,0.00,0.14,0.00,0.08,0.35,0.00,0.97,1.94,,578.54,8.82,0.00,0.02,0.02,0.76,0.04,0.02,1.41,0.04,0.05,1082.87,23.24,3.76,5.34,16.22,,34.51,76.50,0.00,0.00,0.87,2.98,0.00,,,0.20,0.08,0.02,0.00,
55,,2.42,1.27,0.20,0.00,535.73,12.57,151.56,1.59,0.00,,0.83,0.00,39.15,0.05,0.04,3.90,1.34,10.62,0.01,3.42,0.00,0.00,0.16,0.00,0.12,0.32,0.00,1.21,2.05,0.01,608.33,10.97,0.00,0.02,0.06,0.67,0.08,0.01,1.28,0.03,0.05,1152.99,24.61,3.40,5.11,16.26,,35.91,80.15,0.00,0.03,1.94,2.90,0.00,0.01,,0.29,0.15,0.01,0.00,
